Club,mean,count(1)
FC Barcelona,72.6861063464837,25
Juventus,70.39868744872847,26
Real Madrid CF,70.20754716981132,26
Paris Saint-Germain,68.90037735849056,28
FC Bayern Munich,68.72682526661198,26
Manchester United,68.13660377358491,34
Sevilla FC,67.51271534044298,26
Liverpool,67.30352748154225,32
Inter,67.16037735849056,25
Chelsea,67.08061749571183,33
Athletic Club de Bilbao,66.82608695652173,27
Roma,66.69654088050315,27
Napoli,66.53076292042658,26
Beşiktaş JK,66.43396226415095,26
Sporting CP,66.34188679245284,32
SL Benfica,65.94867924528302,31
FC Porto,65.71407837445574,31
Borussia Dortmund,65.34692635423006,34
Milan,65.12185534591195,29
Bayer 04 Leverkusen,65.05581761006287,27
FC Schalke 04,65.04056603773583,24
Everton,65.04025157232705,33
Shakhtar Donetsk,65.01257861635219,25
Colo-Colo,64.86477987421387,20
Galatasaray SK,64.66776045939295,29
Sampdoria,64.64779874213838,26
RCD Espanyol,64.61406518010291,30
Olympique de Marseille,64.57461406518011,26
Arsenal,64.50334753499696,33
Trabzonspor,64.47251845775224,26
Monterrey,64.47169811320755,29
Tottenham Hotspur,64.45210449927433,32
Atlético Madrid,64.3675992192583,32
Manchester City,64.29937106918238,33
Valencia CF,64.15363881401619,29
Fenerbahçe SK,64.12879409351928,28
RSC Anderlecht,64.06603773584905,25
Torino,63.94257588187038,27
Universidad Católica,63.90356394129978,20
SV Werder Bremen,63.84905660377358,24
Borussia Mönchengladbach,63.80905660377357,29
Unión Española,63.801886792452834,20
Cruzeiro,63.77672955974843,20
Sociedade Esportiva Palmeiras,63.68134171907759,20
Ajax,63.649371069182386,29
Watford,63.632749326145536,32
Olympiakos CFP,63.60830188679244,28
Lazio,63.59973045822103,32
Girondins de Bordeaux,63.56132075471698,26
OGC Nice,63.52467343976777,34
Toulouse FC,63.496308449548806,27
Universidad de Chile,63.44863731656184,20
1. FC Köln,63.36066763425253,30
SD Eibar,63.338113207547174,31
Spartak Moscow,63.246855345911946,29
PSV,63.21024258760107,26
Grêmio Foot-Ball Porto Alegrense,63.164570230607964,20
1. FSV Mainz 05,63.14513788098692,30
CD O'Higgins,63.13102725366876,20
Botafogo de Futebol e Regatas,63.06603773584905,20
River Plate,62.933584905660375,28
Eintracht Frankfurt,62.91132075471698,33
TSG 1899 Hoffenheim,62.851233671988375,29
SC Braga,62.80849056603775,30
PAOK Thessaloniki,62.806398687448734,27
Real Betis Balompié,62.780660377358494,28
Everton de Viña del Mar,62.75366876310274,20
Santos Futebol Clube,62.63731656184487,20
Málaga CF,62.555929919137455,33
AS Monaco,62.55587808417996,33
UD Las Palmas,62.54108338405356,34
CD Leganés,62.52830188679245,30
Villarreal CF,62.49969567863664,35
Sport Club do Recife,62.4958071278826,20
Osmanlıspor,62.49138638228056,26
Lokomotiv Moscow,62.44679245283019,29
CD Universidad de Concepción,62.44444444444446,20
Sassuolo,62.37478559176671,26
Girona CF,62.365747460087086,29
Kayserispor,62.34512578616352,28
Clube Atlético Mineiro,62.32389937106919,20
Tigres U.A.N.L.,62.31204644412192,28
İstanbul Başakşehir FK,62.29696472518457,27
CSKA Moscow,62.2930077691454,23
RC Deportivo de La Coruña,62.28616352201258,33
VfB Stuttgart,62.28301886792454,27
Leicester City,62.272911051212944,32
AS Saint-Étienne,62.26487663280117,30
Swansea City,62.25509433962264,32
VfL Wolfsburg,62.03225806451612,34
Real Sociedad,61.96551724137932,32
Levante UD,61.944070080862524,32
Bologna,61.79100145137881,30
CD Huachipato,61.78721174004191,20
Newcastle United,61.757412398921815,33
Montpellier Hérault SC,61.67053701015966,29
Boca Juniors,61.65962264150943,28
Getafe CF,61.659029649595695,31
Clube Atlético Paranaense,61.647798742138356,20
Deportes Iquique,61.63626834381552,20
Rubin Kazan,61.627563576702215,29
Cagliari,61.601078167115894,24
Sparta Praha,61.575849056603765,28
Aston Villa,61.555555555555536,30
Fluminense Football Club,61.55345911949684,20
Southampton,61.52439817826935,33
Feyenoord,61.49313893653515,29
Club Brugge KV,61.444253859348194,28
Hertha BSC Berlin,61.42943396226416,29
SM Caen,61.40644654088049,27
RC Celta de Vigo,61.37466307277628,32
Genoa,61.369056603773586,28
West Bromwich Albion,61.34591194968553,29
San Lorenzo de Almagro,61.34415094339624,28
AEK Athens,61.34188679245284,28
CA Osasuna,61.33193570929419,30
Stoke City,61.31805929919137,33
Club Atlético Lanús,61.31091058244463,26
FC Augsburg,61.28497072218609,33
Fiorentina,61.278464541314236,32
Atalanta,61.22113207547171,28
FC Krasnodar,61.220377358490566,29
Akhisar Belediyespor,61.13617719442166,26
Stade Rennais FC,61.116576819407,32
Bournemouth,61.113207547169814,33
Crystal Palace,61.09579100145137,33
Coritiba Foot Ball Club,61.0880503144654,20
CD Aves,61.087264150943405,27
CD Antofagasta,61.071278825995805,20
West Ham United,61.05520614954579,32
Reading,61.03396226415096,30
Independiente,61.01572327044027,28
Celtic,61.00754716981132,28
Brighton & Hove Albion,60.95833333333332,33
RB Leipzig,60.93530997304583,32
Sheffield Wednesday,60.86635220125786,30
Amiens SC Football,60.84255042290176,33
KAA Gent,60.823657474600864,28
Cruz Azul,60.77628032345014,24
En Avant de Guingamp,60.75245283018867,29
Antalyaspor,60.73977987421384,29
Wolverhampton Wanderers,60.735849056603755,30
FC Nantes,60.73450134770889,34
Bursaspor,60.71698113207546,29
AZ Alkmaar,60.61871069182391,27
Zenit St. Petersburg,60.60916442048518,30
Angers SCO,60.59869375907111,29
